"Document Name","File size (bytes)","Processing seconds","Pre CPU utilization(%)","Post CPU utilization(%)","Pre Memory utilization(%)","Post Memory utilization(%)","Pre Memory usage(MB)","Post Memory usage(MB)","Pre Load average","Post Load average"
"101.doc",431104,"2.46",1,1,38.33,38.51,366.55,368.2,"0.46,0.67,0.41","0.46,0.67,0.41"
"102.docx",612353,"2.63",1.01,0.5,38.45,38.6,367.65,369.07,"0.46,0.67,0.41","0.5,0.67,0.41"
"103.doc",7725056,"20.65",1,0.5,38.26,38.48,365.89,367.92,"0.5,0.67,0.41","0.64,0.69,0.43"
"104.docx",1657192,"53.47",0.5,0.5,38.39,35.17,367.06,336.28,"0.64,0.69,0.43","1.01,0.78,0.48"
"105.doc",1182208,"5.17",0,0.5,35.08,35.67,335.41,341.05,"1.01,0.78,0.48","1.01,0.79,0.48"
"106.docx",1552441,"3.3",0.5,0.5,35.59,35.79,340.28,342.18,"1.01,0.79,0.48","1.09,0.81,0.49"
"107.doc",601088,"2.23",0,3.02,35.61,35.69,340.5,341.27,"1.09,0.81,0.49","1.08,0.81,0.49"
"108.docx",857462,"2.41",0.51,0.5,35.92,36.15,343.42,345.68,"1.08,0.81,0.49","1.08,0.81,0.49"
"109.doc",2452992,"2.54",1.51,0.5,36.06,36.33,344.77,347.4,"0.99,0.8,0.49","0.99,0.8,0.49"
"110.docx",2211306,"2.9",1,1.49,36.24,36.33,346.51,347.42,"0.99,0.8,0.49","0.99,0.8,0.49"
"111.doc",282624,"2.17",0,0.51,36.21,36.4,346.23,348.05,"0.99,0.8,0.49","0.91,0.79,0.49"
"112.docx",344451,"2.8",1.02,0,36.46,36.57,348.61,349.64,"0.91,0.79,0.49","0.91,0.79,0.49"
"113.doc",1577984,"2.54",0.5,1,36.2,36.42,346.12,348.25,"0.84,0.77,0.48","0.84,0.77,0.48"
"114.docx",2220957,"3.05",1,1,36.33,36.61,347.34,350.04,"0.84,0.77,0.48","0.85,0.78,0.49"
"115.doc",130560,"2.34",0,0,36.36,36.58,347.71,349.8,"0.85,0.78,0.49","0.79,0.76,0.48"
"116.docx",71395,"2.36",1.49,0.5,36.46,36.53,348.59,349.26,"0.79,0.76,0.48","0.79,0.76,0.48"
"117.doc",154624,"2.07",1.5,0,36.4,36.56,348.07,349.58,"0.79,0.76,0.48","0.8,0.77,0.49"
"118.docx",41289,"2.31",1,1,36.39,36.48,347.92,348.82,"0.8,0.77,0.49","0.8,0.77,0.49"
"119.doc",79872,"2.14",0.5,0.51,36.44,36.63,348.46,350.28,"0.74,0.75,0.48","0.74,0.75,0.48"
"120.docx",62149,"2.39",0.5,1,36.48,36.77,348.79,351.56,"0.74,0.75,0.48","0.76,0.76,0.49"
"121.doc",1097216,"2.49",0,1,36.6,36.78,350,351.71,"0.76,0.76,0.49","0.76,0.76,0.49"
"122.docx",1587732,"2.7",1,0,36.68,36.94,350.73,353.23,"0.7,0.75,0.48","0.7,0.75,0.48"
"123.doc",992256,"2.21",0,0.5,36.72,36.88,351.09,352.64,"0.7,0.75,0.48","0.72,0.75,0.49"
"124.docx",874375,"2.49",0.5,0,36.76,36.83,351.5,352.13,"0.72,0.75,0.49","0.66,0.74,0.48"
"125.doc",632832,"2.28",0.5,0,36.72,36.8,351.11,351.88,"0.66,0.74,0.48","0.66,0.74,0.48"
"126.docx",865899,"2.41",1,1.49,36.66,36.83,350.5,352.13,"0.66,0.74,0.48","0.69,0.74,0.49"
"127.doc",87040,"2.34",1,0,36.76,37.2,351.48,355.67,"0.69,0.74,0.49","0.64,0.73,0.48"
"128.docx",85459,"2.26",0.5,0,36.8,36.88,351.84,352.68,"0.64,0.73,0.48","0.64,0.73,0.48"
"129.doc",283136,"2.12",1,0.5,36.75,36.96,351.38,353.43,"0.64,0.73,0.48","0.67,0.73,0.49"
"130.docx",133466,"2.46",0.5,1.01,36.85,36.95,352.34,353.33,"0.67,0.73,0.49","0.61,0.72,0.48"
"131.doc",1066496,"3.47",0,0,36.85,37.1,352.38,354.71,"0.61,0.72,0.48","0.61,0.72,0.48"
"132.docx",1366170,"3.51",0.5,0.5,36.91,36.92,352.89,353,"0.56,0.71,0.48","0.56,0.71,0.48"
"133.doc",774656,"2.27",0.5,0,36.77,37.05,351.6,354.26,"0.52,0.7,0.48","0.52,0.7,0.48"
"134.docx",936698,"2.54",0.5,1,36.9,37.07,352.81,354.47,"0.52,0.7,0.48","0.48,0.69,0.47"
